id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,masalah_kesejahteraan_sosial,jumlah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,BALITA TERLANTAR ,9180.0,ORANG,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,ANAK TERLANTAR ,69990.0,ORANG,2014
3,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,ANAK NAKAL (ABH) ,8860.0,ORANG,2014
4,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,ANAK JALANAN,2080.0,ORANG,2014
5,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,WANITA RAWAN SOSIAL EKONOMI (JIWA),85370.0,ORANG,2014
6,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,KORBAN TINDAK KEKERSAN,20.0,ORANG,2014
7,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,LANJUT USIA TERLANTAR,128780.0,ORANG,2014
8,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,PENYANDANG CACAT,73580.0,ORANG,2014
9,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,TUNA SUSILA,8370.0,ORANG,2014
10,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,PENGEMIS,3840.0,ORANG,2014
11,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,GELANDANGAN,1020.0,ORANG,2014
12,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,BEKAS WARGA BINAAN LEMBAGA KEMASYARAKATAN (BWBLK),7310.0,ORANG,2014
13,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,KORBAN PENYALAHGUNAAN NAPZA,430.0,ORANG,2014
14,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,KELUARGA FAKIR MISKIN,4460400.0,ORANG,2014
15,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,KELUARGA BERUMAH TAK LAYAK HUNI,272630.0,ORANG,2014
16,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,KELUARGA BERMASALAH PSIKOLOGIS,1470.0,ORANG,2014
17,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,KOMUNITAS ADAT TERPENCIL,0.0,ORANG,2014
18,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,KORBAN BENCANA ALAM,163800.0,ORANG,2014
19,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,KORBAN BENCANA SOSIAL ATAU PENGUNGSI,50.0,ORANG,2014
20,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,PEKERJA MIGRAN BERMASALAH SOSIAL,4120.0,ORANG,2014
21,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,ORANG DENGAN HIV/AIDS (ODHA),620.0,ORANG,2014
22,32,JAWA BARAT,3201,KABUPATEN BOGOR  ,KELUARGA RENTAN,149410.0,ORANG,2014
23,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,BALITA TERLANTAR ,22760.0,ORANG,2014
24,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,ANAK TERLANTAR ,57820.0,ORANG,2014
25,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,ANAK NAKAL (ABH) ,2480.0,ORANG,2014
26,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,ANAK JALANAN,7090.0,ORANG,2014
27,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,WANITA RAWAN SOSIAL EKONOMI (JIWA),143490.0,ORANG,2014
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,KORBAN TINDAK KEKERSAN,4840.0,ORANG,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,LANJUT USIA TERLANTAR,125900.0,ORANG,2014
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,PENYANDANG CACAT,57510.0,ORANG,2014
31,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,TUNA SUSILA,3650.0,ORANG,2014
32,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,PENGEMIS,3320.0,ORANG,2014
33,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,GELANDANGAN,7090.0,ORANG,2014
34,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,BEKAS WARGA BINAAN LEMBAGA KEMASYARAKATAN (BWBLK),7890.0,ORANG,2014
35,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,KORBAN PENYALAHGUNAAN NAPZA,2520.0,ORANG,2014
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,KELUARGA FAKIR MISKIN,2654800.0,ORANG,2014
37,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,KELUARGA BERUMAH TAK LAYAK HUNI,202380.0,ORANG,2014
38,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,KELUARGA BERMASALAH PSIKOLOGIS,1940.0,ORANG,2014
39,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,KOMUNITAS ADAT TERPENCIL,1270.0,ORANG,2014
40,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,KORBAN BENCANA ALAM,13260.0,ORANG,2014
41,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,KORBAN BENCANA SOSIAL ATAU PENGUNGSI,400.0,ORANG,2014
42,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,PEKERJA MIGRAN BERMASALAH SOSIAL,6770.0,ORANG,2014
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,ORANG DENGAN HIV/AIDS (ODHA),40.0,ORANG,2014
44,32,JAWA BARAT,3202,KABUPATEN SUKABUMI  ,KELUARGA RENTAN,8000.0,ORANG,2014
45,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,BALITA TERLANTAR ,4270.0,ORANG,2014
46,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,ANAK TERLANTAR ,14700.0,ORANG,2014
47,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,ANAK NAKAL (ABH) ,470.0,ORANG,2014
48,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,ANAK JALANAN,910.0,ORANG,2014
49,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,WANITA RAWAN SOSIAL EKONOMI (JIWA),92580.0,ORANG,2014
50,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,KORBAN TINDAK KEKERSAN,1440.0,ORANG,2014
51,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,LANJUT USIA TERLANTAR,71490.0,ORANG,2014
52,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,PENYANDANG CACAT,49280.0,ORANG,2014
53,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,TUNA SUSILA,530.0,ORANG,2014
54,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,PENGEMIS,2120.0,ORANG,2014
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,GELANDANGAN,540.0,ORANG,2014
56,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,BEKAS WARGA BINAAN LEMBAGA KEMASYARAKATAN (BWBLK),3170.0,ORANG,2014
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,KORBAN PENYALAHGUNAAN NAPZA,2470.0,ORANG,2014
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,KELUARGA FAKIR MISKIN,3111100.0,ORANG,2014
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,KELUARGA BERUMAH TAK LAYAK HUNI,115410.0,ORANG,2014
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,KELUARGA BERMASALAH PSIKOLOGIS,920.0,ORANG,2014
61,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,KOMUNITAS ADAT TERPENCIL,2570.0,ORANG,2014
62,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,KORBAN BENCANA ALAM,43420.0,ORANG,2014
63,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,KORBAN BENCANA SOSIAL ATAU PENGUNGSI,440.0,ORANG,2014
64,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,PEKERJA MIGRAN BERMASALAH SOSIAL,2200.0,ORANG,2014
65,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,ORANG DENGAN HIV/AIDS (ODHA),50.0,ORANG,2014
66,32,JAWA BARAT,3203,KABUPATEN CIANJUR  ,KELUARGA RENTAN,11170.0,ORANG,2014
67,32,JAWA BARAT,3204,KABUPATEN BANDUNG  ,BALITA TERLANTAR ,77850.0,ORANG,2014
68,32,JAWA BARAT,3204,KABUPATEN BANDUNG  ,ANAK TERLANTAR ,122470.0,ORANG,2014
69,32,JAWA BARAT,3204,KABUPATEN BANDUNG  ,ANAK NAKAL (ABH) ,320.0,ORANG,2014
70,32,JAWA BARAT,3204,KABUPATEN BANDUNG  ,ANAK JALANAN,2220.0,ORANG,2014
71,32,JAWA BARAT,3204,KABUPATEN BANDUNG  ,WANITA RAWAN SOSIAL EKONOMI (JIWA),250930.0,ORANG,2014
72,32,JAWA BARAT,3204,KABUPATEN BANDUNG  ,KORBAN TINDAK KEKERSAN,1480.0,ORANG,2014
73,32,JAWA BARAT,3204,KABUPATEN BANDUNG  ,LANJUT USIA TERLANTAR,244010.0,ORANG,2014
74,32,JAWA BARAT,3204,KABUPATEN BANDUNG  ,PENYANDANG CACAT,78320.0,ORANG,2014
